Node Count: 362

Node List:  1, 10, 20, 2, 32, 23, 16, 3, 11, 42, 51, 4, 24, 5, 14, 8, 6, 48, 7, 30, 9, 111, 112, 113, 12, 129, 13, 19, 31, 35, 27, 15, 17, 18, 37, 87, 81, 74, 21, 121, 122, 124, 22, 39, 36, 28, 103, 245, 25, 46, 26, 52, 29, 58, 61, 53, 41, 43, 33, 324, 34, 38, 223, 125, 182, 40, 50, 45, 47, 75, 86, 94, 44, 222, 160, 49, 56, 92, 71, 82, 60, 107, 54, 64, 298, 359, 57, 55, 84, 91, 99, 98, 78, 59, 70, 80, 90, 62, 117, 66, 63, 85, 79, 65, 67, 68, 69, 213, 148, 101, 96, 302, 72, 73, 76, 77, 139, 100, 89, 83, 95, 88, 93, 97, 102, 227, 285, 263, 173, 185, 136, 108, 110, 321, 104, 105, 106, 128, 109, 118, 135, 143, 114, 201, 202, 203, 204, 115, 146, 164, 116, 126, 119, 190, 132, 120, 133, 142, 138, 130, 123, 220, 155, 156, 189, 234, 127, 186, 205, 131, 137, 149, 134, 357, 145, 140, 141, 144, 260, 147, 152, 150, 165, 151, 153, 175, 158, 157, 154, 176, 171, 163, 169, 161, 166, 159, 170, 162, 224, 168, 167, 178, 183, 218, 362, 187, 172, 191, 192, 181, 179, 174, 177, 188, 180, 238, 336, 322, 184, 198, 194, 196, 193, 199, 229, 195, 342, 197, 200, 343, 210, 215, 232, 246, 206, 207, 214, 212, 255, 208, 243, 244, 211, 325, 242, 226, 219, 258, 331, 290, 216, 254, 265, 217, 230, 225, 221, 347, 341, 296, 251, 228, 248, 237, 233, 235, 240, 249, 231, 313, 239, 250, 311, 236, 256, 247, 278, 241, 209, 280, 300, 252, 320, 253, 279, 257, 261, 262, 307, 259, 264, 267, 266, 268, 269, 332, 270, 274, 271, 291, 272, 273, 277, 275, 276, 282, 281, 363, 337, 350, 284, 283, 361, 293, 286, 287, 288, 289, 351, 353, 295, 323, 340, 292, 314, 294, 354, 352, 297, 299, 301, 360, 303, 318, 304, 305, 306, 315, 308, 309, 316, 312, 310, 317, 319, 358, 326, 328, 327, 329, 330, 333, 334, 339, 335, 338, 345, 346, 348, 349, 355, 356

Average degree: 4.07

Diameter (directed):   33.0
Diameter (undirected): 18.0

Degree Distribution (undirected): 
   degree: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 
    nodes: 1 18 70 105 58 26 46 15 7 3 3 2 3 1 1 0 2 0 0 0 0 0 0 0 0 0 1 

Degree Ranges: 
    min max tot
all [0, 26, 1472]
 in [0, 19, 737]
out [0, 7, 737]

Degree map: (high degree nodes)
#   In  Out Total
324:  19   7   26
21:  13   3   16
213:  11   5   16
63:  9   5   14
140:  10   3   13
182:  8   4   12
263:  7   5   12
136:  12   0   12
245:  11   0   11
173:  7   4   11
302:  8   2   10
202:  8   2   10
208:  7   3   10
160:  7   2   9
106:  5   4   9
254:  6   3   9
1:  6   2   8
66:  6   2   8
321:  5   3   8
153:  5   3   8
214:  6   2   8
250:  5   3   8
284:  6   2   8
2:  4   3   7
24:  5   2   7
12:  6   1   7
17:  4   3   7
28:  4   3   7
92:  4   3   7
71:  4   3   7
54:  3   4   7
91:  4   3   7
98:  4   3   7
70:  4   3   7
90:  4   3   7
227:  3   4   7
191:  4   3   7
244:  5   2   7
32:  3   3   6
23:  3   3   6
16:  3   3   6
3:  3   3   6
42:  3   3   6
51:  3   3   6
5:  3   3   6
14:  3   3   6
8:  3   3   6
13:  3   3   6
19:  3   3   6
31:  3   3   6
35:  3   3   6
27:  3   3   6
15:  3   3   6
81:  3   3   6
74:  3   3   6
124:  2   4   6
29:  3   3   6
58:  3   3   6
61:  3   3   6
53:  3   3   6
41:  3   3   6
43:  3   3   6
50:  3   3   6
45:  3   3   6
47:  3   3   6
75:  3   3   6
86:  3   3   6
94:  3   3   6
49:  3   3   6
56:  3   3   6
60:  3   3   6
298:  1   5   6
99:  3   3   6
78:  4   2   6
80:  3   3   6
101:  2   4   6
102:  3   3   6
158:  4   2   6
157:  4   2   6
232:  4   2   6
230:  1   5   6
282:  4   2   6
289:  3   3   6
314:  3   3   6
10:  1   4   5
30:  2   3   5
22:  3   2   5
36:  2   3   5
128:  2   3   5
135:  3   2   5
114:  1   4   5
201:  3   2   5
204:  1   4   5
130:  4   1   5
155:  2   3   5
205:  2   3   5
131:  3   2   5
260:  2   3   5
152:  2   3   5
151:  1   4   5
171:  1   4   5
246:  2   3   5
207:  1   4   5
211:  4   1   5
258:  3   2   5
217:  3   2   5
347:  2   3   5
228:  2   3   5
239:  2   3   5
327:  3   2   5
11:  2   2   4
48:  1   3   4
9:  2   2   4
129:  2   2   4
87:  2   2   4
122:  1   3   4
39:  1   3   4
25:  1   3   4
52:  1   3   4
223:  2   2   4
82:  2   2   4
84:  2   2   4
59:  1   3   4
69:  3   1   4
148:  1   3   4
77:  2   2   4
185:  2   2   4
110:  1   3   4
143:  1   3   4
203:  3   1   4
126:  1   3   4
156:  2   2   4
189:  2   2   4
186:  2   2   4
150:  1   3   4
165:  1   3   4
166:  2   2   4
168:  1   3   4
178:  1   3   4
181:  2   2   4
188:  1   3   4
184:  1   3   4
197:  1   3   4
210:  2   2   4
215:  1   3   4
242:  2   2   4
265:  2   2   4
225:  2   3   4
313:  2   2   4
311:  2   2   4
256:  1   3   4
278:  2   2   4
320:  2   2   4
279:  1   3   4
257:  1   3   4
261:  2   2   4
266:  2   2   4
269:  2   2   4
274:  1   3   4
337:  2   2   4
350:  2   2   4
340:  1   3   4
294:  2   2   4
318:  2   2   4
309:  1   3   4
339:  2   2   4
348:  1   3   4
349:  1   3   4


