Node Count: 374

Node List:  1, 16, 2, 12, 131, 3, 4, 91, 152, 5, 70, 112, 6, 36, 59, 135, 7, 192, 78, 33, 8, 52, 176, 9, 55, 37, 10, 38, 137, 11, 53, 205, 13, 66, 335, 85, 14, 99, 15, 31, 17, 41, 30, 18, 29, 19, 20, 184, 21, 327, 340, 22, 353, 23, 77, 24, 35, 73, 25, 26, 280, 48, 27, 297, 28, 197, 51, 90, 54, 76, 32, 371, 34, 50, 212, 75, 159, 72, 39, 86, 40, 42, 43, 128, 44, 45, 46, 47, 49, 356, 333, 313, 97, 92, 120, 94, 157, 211, 56, 294, 283, 57, 58, 60, 61, 62, 361, 64, 71, 67, 81, 146, 68, 69, 130, 121, 210, 93, 325, 245, 74, 96, 98, 134, 111, 269, 116, 145, 79, 173, 231, 264, 200, 80, 82, 83, 84, 87, 336, 88, 89, 101, 114, 141, 158, 188, 113, 95, 119, 320, 117, 317, 118, 100, 136, 102, 103, 104, 105, 106, 107, 209, 108, 65, 110, 127, 149, 195, 170, 296, 338, 133, 190, 138, 151, 172, 259, 339, 122, 123, 160, 124, 63, 125, 260, 360, 310, 129, 154, 178, 139, 109, 140, 214, 272, 142, 143, 247, 144, 171, 147, 148, 150, 187, 213, 226, 198, 174, 194, 153, 155, 156, 175, 193, 217, 240, 302, 329, 348, 161, 162, 163, 164, 165, 166, 342, 355, 319, 224, 167, 228, 249, 303, 326, 347, 168, 169, 225, 287, 372, 196, 218, 191, 250, 177, 337, 132, 237, 202, 179, 180, 268, 181, 182, 183, 185, 186, 248, 270, 254, 273, 300, 189, 208, 252, 206, 255, 323, 236, 215, 232, 216, 199, 301, 322, 201, 203, 204, 220, 235, 207, 279, 233, 312, 230, 314, 352, 334, 238, 239, 276, 295, 219, 221, 222, 284, 305, 324, 227, 242, 266, 115, 229, 281, 274, 258, 251, 278, 257, 241, 243, 244, 246, 367, 357, 253, 275, 256, 369, 277, 290, 306, 271, 298, 261, 262, 263, 126, 265, 267, 332, 341, 299, 315, 291, 318, 282, 288, 289, 358, 373, 292, 293, 234, 316, 364, 331, 311, 304, 375, 307, 308, 309, 345, 366, 321, 285, 330, 374, 328, 351, 354, 365, 349, 343, 344, 346, 350, 368, 363, 370, 359, 286, 362

Average degree: 3.71

Diameter (directed):   79.0
Diameter (undirected): 51.0

Degree Distribution (undirected): 
   degree: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
    nodes: 0 21 81 108 62 53 21 10 8 4 3 1 0 0 1 1 

Degree Ranges: 
    min max tot
all [1, 15, 1386]
 in [0, 12, 693]
out [0, 5, 693]

Degree map: (high degree nodes)
#   In  Out Total
325:  12   3   15
245:  11   3   14
280:  7   4   11
205:  9   1   10
231:  5   5   10
264:  5   5   10
192:  7   2   9
130:  6   3   9
177:  5   4   9
202:  5   4   9
25:  6   2   8
128:  5   3   8
173:  4   4   8
82:  6   2   8
138:  5   3   8
172:  6   2   8
224:  6   2   8
237:  4   4   8
78:  5   2   7
26:  4   3   7
200:  6   1   7
338:  5   2   7
339:  3   4   7
342:  6   1   7
355:  6   1   7
347:  3   4   7
268:  3   4   7
204:  3   4   7
6:  3   3   6
52:  3   3   6
176:  4   2   6
335:  4   2   6
99:  4   2   6
15:  4   2   6
22:  3   3   6
24:  2   4   6
48:  4   2   6
47:  4   2   6
146:  4   2   6
74:  3   3   6
79:  1   5   6
259:  4   2   6
160:  3   3   6
167:  1   5   6
326:  3   3   6
337:  4   2   6
189:  1   5   6
262:  1   5   6
267:  3   3   6
3:  4   1   5
4:  3   2   5
91:  3   2   5
152:  3   2   5
112:  2   3   5
135:  1   4   5
33:  2   3   5
8:  3   2   5
55:  3   2   5
85:  2   3   5
30:  3   2   5
184:  3   2   5
159:  4   1   5
86:  3   2   5
45:  4   1   5
120:  4   1   5
211:  3   2   5
294:  1   4   5
283:  1   4   5
361:  3   2   5
81:  2   3   5
210:  1   4   5
269:  2   3   5
84:  2   3   5
89:  3   2   5
209:  2   3   5
151:  2   3   5
63:  5   0   5
260:  1   4   5
129:  1   4   5
213:  3   2   5
161:  2   3   5
166:  1   4   5
319:  5   0   5
249:  3   2   5
372:  3   2   5
132:  5   0   5
301:  1   4   5
312:  3   2   5
230:  3   2   5
352:  3   2   5
266:  1   4   5
229:  4   1   5
281:  3   2   5
274:  3   2   5
253:  1   4   5
263:  1   4   5
292:  1   4   5
330:  1   4   5
351:  1   4   5
343:  2   3   5
344:  1   4   5
359:  1   4   5
70:  2   2   4
59:  3   1   4
7:  1   3   4
37:  2   2   4
53:  2   2   4
13:  1   3   4
17:  2   2   4
41:  2   2   4
77:  3   1   4
35:  1   3   4
50:  2   2   4
42:  1   3   4
356:  2   2   4
333:  3   1   4
313:  2   2   4
97:  1   3   4
93:  2   2   4
111:  2   2   4
80:  1   3   4
87:  1   3   4
158:  1   3   4
188:  1   3   4
119:  1   3   4
320:  2   2   4
214:  1   3   4
143:  1   3   4
247:  2   2   4
147:  1   3   4
150:  1   3   4
187:  1   3   4
226:  1   3   4
194:  1   3   4
240:  1   3   4
