id	box	folder	series	series_no	title	author	publisher	citation	book_id	series_id
01-01	01	1-7	Choose Your Own Adventure (1979-1998)		Cave of Time, The			Cave of Time, The. Author: Edward Packard. Publisher: Bantam, 1979. ISBN: 055312790X. Publisher series no: 30. Book ID: 518. 115 pages.	518	30
01-08	01	8-13	Choose Your Own Adventure (1979-1998)		Journey Under the Sea			Journey Under the Sea. Author: Robert Mountain (R.A. Montgomery). Publisher: Bantam, 1977. ISBN: 0553140035. Publisher series no: 30. Book ID: 163. 97 pages (British Adventures of You edition), 117 pages (original CYOA release).	163	30
01-14	01	14-15	Choose Your Own Adventure (1979-1998)		By Balloon to the Sahara			By Balloon to the Sahara. Author: Douglas Terman. Publisher: Bantam, 1979. ISBN: 0553127918. Publisher series no: 30. Book ID: 563. 117 pages.	563	30
01-16	01	16-19	Choose Your Own Adventure (1979-1998)		Space and Beyond			Space and Beyond. Author: R.A. Montgomery. Publisher: Bantam, 1980. ISBN: 0553140000. Publisher series no: 30. Book ID: 562. 117 pages.	562	30
01-20	01	20-23	Choose Your Own Adventure (1979-1998)		Mystery of Chimney Rock, The			Mystery of Chimney Rock, The. Author: Edward Packard. Publisher: Bantam, 1980. ISBN: 0553140019. Publisher series no: 30. Book ID: 561. 121 pages.	561	30
01-24	01	24-26	Choose Your Own Adventure (1979-1998)		Your Code Name is Jonah			Your Code Name is Jonah. Author: Edward Packard. Publisher: Bantam, 1980. ISBN: 0553140027. Publisher series no: 30. Book ID: 560. 114 pages.	560	30
01-27	01	27-28	Choose Your Own Adventure (1979-1998)		Third Planet from Altair, The			Third Planet from Altair, The. Author: Edward Packard. Publisher: Bantam, 1979. ISBN: 0397318278. Publisher series no: 30. Book ID: 332. (CYOA version).	332	30
01-29	01	29-30	Choose Your Own Adventure (1979-1998)		Deadwood City			Deadwood City. Author: Edward Packard. Publisher: Bantam, 1979. ISBN: 0397317832. Publisher series no: 30. Book ID: 333 pages (CYOA version).	333 pages (CYOA version)	30
01-31	01	31-34	Choose Your Own Adventure (1979-1998)		Who Killed Harlowe Thrombey			Who Killed Harlowe Thrombey? Author: Edward Packard. Publisher: Bantam, 1981. ISBN: 0553143573. Publisher series no: 30. Book ID: 516. 122 pages.	516	30
01-35	01	35-36	Choose Your Own Adventure (1979-1998)		Lost Jewels of Nabooti, The			Lost Jewels of Nabooti, The. Author: R.A. Montgomery. Publisher: Bantam, 1981. ISBN: 0553143581. Publisher series no: 30. Book ID: 556. 121 pages (original), 131 pages (reissue).	556	30
01-37	01	37-38	Choose Your Own Adventure (1979-1998)		Mystery of the Maya			Mystery of the Maya. Author: R.A. Montgomery. Publisher: Bantam, 1981. ISBN: 0553146009. Publisher series no: 30. Book ID: 555. 134 pages (original), 131 pages (reissue).	555	30
01-39	01	39-41	Choose Your Own Adventure (1979-1998)		Inside UFO 54-40			Inside UFO 54-40. Author: Edward Packard. Publisher: Bantam, 1982. ISBN: 0553201972. Publisher series no: 30. Book ID: 554. 118 pages.	554	30
01-42	01	42	Choose Your Own Adventure (1979-1998)		Abominable Snowman, The			Abominable Snowman, The. Author: R.A. Montgomery. Publisher: Bantam, 1982. ISBN: 0553205293. Publisher series no: 30. Book ID: 553. 116 pages.	553	30
01-43	01	43-44	Choose Your Own Adventure (1979-1998)		Forbidden Castle, The			Forbidden Castle, The. Author: Edward Packard. Publisher: Bantam, 1982. ISBN: 0553225154. Publisher series no: 30. Book ID: 520. 118 pages.	520	30
01-45	01	45-46	Choose Your Own Adventure (1979-1998)		House of Danger			House of Danger. Author: R.A. Montgomery. Publisher: Bantam, 1982. ISBN: 0553225413. Publisher series no: 30. Book ID: 546. 115 pages (original), 109 pages (reissue).	546	30
01-47	01	47	Choose Your Own Adventure (1979-1998)		Survival at Sea			Survival at Sea. Author: Edward Packard. Publisher: Bantam, 1982. ISBN: 0553227688. Publisher series no: 30. Book ID: 533. 118 pages.	533	30
01-48	01	48	Choose Your Own Adventure (1979-1998)		Race Forever, The			Race Forever, The. Author: R.A. Montgomery. Publisher: Bantam, 1983. ISBN: 0553232908. Publisher series no: 30. Book ID: 552. 116 pages (original), 122 pages (reissue).	552	30
01-49	01	49	Choose Your Own Adventure (1979-1998)		Underground Kingdom			Underground Kingdom. Author: Edward Packard. Publisher: Bantam, 1983. ISBN: 0553232924. Publisher series no: 30. Book ID: 531. 108 pages.	531	30
01-50	01	50	Choose Your Own Adventure (1979-1998)		Secret of the Pyramids			Secret of the Pyramids. Author: Richard Brightfield. Publisher: Bantam, 1983. ISBN: 0553232959. Publisher series no: 30. Book ID: 551. 116 pages.	551	30
01-51	01	51	Choose Your Own Adventure (1979-1998)		Escape			Escape. Author: R.A. Montgomery. Publisher: Bantam, 1983. ISBN: 0553232940. Publisher series no: 30. Book ID: 500. 118 pages (original), 125 pages (reissue).	500	30
01-52	01	52	Choose Your Own Adventure (1979-1998)		Hyperspace			Hyperspace. Author: Edward Packard. Publisher: Bantam, 1983. ISBN: 0553233246. Publisher series no: 30. Book ID: 532. 116 pages.	532	30
01-53	01	53-54	Choose Your Own Adventure (1979-1998)		Space Patrol			Space Patrol. Author: Julius Goodman. Publisher: Bantam, 1983. ISBN: 0553233491. Publisher series no: 30. Book ID: 550. 118 pages.	550	30
01-55	01	55	Choose Your Own Adventure (1979-1998)		Lost Tribe, The			Lost Tribe, The. Author: Louise Munro Foley. Publisher: Bantam, 1983. ISBN: 0553233661. Publisher series no: 30. Book ID: 549. 116 pages.	549	30
01-56	01	56	Choose Your Own Adventure (1979-1998)		Lost on the Amazon			Lost on the Amazon. Author: R.A. Montgomery. Publisher: Bantam, 1983. ISBN: 0553237330. Publisher series no: 30. Book ID: 548. 114 pages.	548	30
01-57	01	57	Choose Your Own Adventure (1979-1998)		Prisoner of the Ant People			Prisoner of the Ant People. Author: R.A. Montgomery. Publisher: Bantam, 1983. ISBN: 055323661X. Publisher series no: 30. Book ID: 535. 115 pages.	535	30
01-58	01	58	Choose Your Own Adventure (1979-1998)		Phantom Submarine, The			Phantom Submarine, The. Author: Richard Brightfield. Publisher: Bantam, 1983. ISBN: 0553236350. Publisher series no: 30. Book ID: 547. 111 pages.	547	30
01-59	01	59	Choose Your Own Adventure (1979-1998)		Horror of High Ridge, The			Horror of High Ridge, The. Author: Julius Goodman. Publisher: Bantam, 1983. ISBN: 0553238671. Publisher series no: 30. Book ID: 545. 116 pages.	545	30
01-60	01	60	Choose Your Own Adventure (1979-1998)		Mountain Survival			Mountain Survival. Author: Edward Packard. Publisher: Bantam, 1984. ISBN: 055323868X. Publisher series no: 30. Book ID: 544. 115 pages.	544	30
01-61	01	61-62	Choose Your Own Adventure (1979-1998)		Trouble on Planet Earth			Trouble on Planet Earth. Author: R.A. Montgomery. Publisher: Bantam, 1984. ISBN: 0553238655. Publisher series no: 30. Book ID: 543. 116 pages (original), 113 pages (reissue).	543	30
01-63	01	63-64	Choose Your Own Adventure (1979-1998)		Curse of Batterslea Hall, The			Curse of Batterslea Hall, The. Author: Richard Brightfield. Publisher: Bantam, 1984. ISBN: 0553239376. Publisher series no: 30. Book ID: 542. 118 pages.	542	30
01-65	01	65-66	Choose Your Own Adventure (1979-1998)		Vampire Express			Vampire Express. Author: Tony Koltz. Publisher: Bantam, 1984. ISBN: 0553240994. Publisher series no: 30. Book ID: 541. 118 pages.	541	30
02-01	02	01	Choose Your Own Adventure (1979-1998)		Vampire Express			Vampire Express. Author: Tony Koltz. Publisher: Bantam, 1984. ISBN: 0553240994. Publisher series no: 30. Book ID: 541. 118 pages.	541	30
02-02	02	02	Choose Your Own Adventure (1979-1998)		Treasure Diver			Treasure Diver. Author: Julius Goodman. Publisher: Bantam, 1984. ISBN: 0553240501. Publisher series no: 30. Book ID: 540. 114 pages (plus background information).	540	30
02-03	02	03	Choose Your Own Adventure (1979-1998)		Dragons' Den, The			Dragons' Den, The. Author: Richard Brightfield. Publisher: Bantam, 1984. ISBN: 0553242490. Publisher series no: 30. Book ID: 539. 116 pages.	539	30
02-04	02	04	Choose Your Own Adventure (1979-1998)		Mystery of the Highland Crest, The			Mystery of the Highland Crest, The. Author: Louise Munro Foley. Publisher: Bantam, 1984. ISBN: 0553243446. Publisher series no: 30. Book ID: 538. 117 pages.	538	30
02-05	02	05	Choose Your Own Adventure (1979-1998)		Journey to Stonehenge			Journey to Stonehenge. Author: Fred Graver. Publisher: Bantam, 1984. ISBN: 0553244841. Publisher series no: 30. Book ID: 537. 111 pages.	537	30
02-06	02	06	Choose Your Own Adventure (1979-1998)		Secret Treasure of Tibet, The			Secret Treasure of Tibet, The. Author: Richard Brightfield. Publisher: Bantam, 1984. ISBN: 0553245228. Publisher series no: 30. Book ID: 536. 117 pages.	536	30
02-07	02	07	Choose Your Own Adventure (1979-1998)		War with the Evil Power Master			War with the Evil Power Master. Author: R.A. Montgomery. Publisher: Bantam, 1984. ISBN: 0553245236. Publisher series no: 30. Book ID: 534. 118 pages (original), 123 pages (reissue).	534	30
02-08	02	08	Choose Your Own Adventure (1979-1998)		Sabotage			Sabotage. Author: Jay Leibold (Jay Montavon). Publisher: Bantam, 1984. ISBN: 0553245252. Publisher series no: 30. Book ID: 523. 132 pages.	523	30
02-09	02	9-10	Choose Your Own Adventure (1979-1998)		Supercomputer			Supercomputer. Author: Edward Packard. Publisher: Bantam, 1984. ISBN: 055324678X. Publisher series no: 30. Book ID: 530. 118 pages.	530	30
02-11	02	11	Choose Your Own Adventure (1979-1998)		Throne of Zeus, The			Throne of Zeus, The. Author: Deborah Lerme Goodman. Publisher: Bantam, 1985. ISBN: 0553246798. Publisher series no: 30. Book ID: 510. 118 pages.	510	30
02-12	02	12	Choose Your Own Adventure (1979-1998)		Search for the Mountain Gorillas			Search for the Mountain Gorillas. Author: Jim Wallace. Publisher: Bantam, 1985. ISBN: 0553260626. Publisher series no: 30. Book ID: 529. 118 pages (original), 134 pages (Australian edition with contest winners), 125 pages plus glossary (reissue).	529	30
02-13	02	13	Choose Your Own Adventure (1979-1998)		Mystery of Echo Lodge, The			Mystery of Echo Lodge, The. Author: Louise Munro Foley. Publisher: Bantam, 1985. ISBN: 0553247204. Publisher series no: 30. Book ID: 528. 118 pages.	528	30
02-14	02	14	Choose Your Own Adventure (1979-1998)		Grand Canyon Odyssey			Grand Canyon Odyssey. Author: Jay Leibold (Jay Montavon). Publisher: Bantam, 1985. ISBN: 0553248227. Publisher series no: 30. Book ID: 527. 115 pages.	527	30
02-15	02	15	Choose Your Own Adventure (1979-1998)		Mystery of Ura Senke, The			Mystery of Ura Senke, The. Author: Shannon Gilligan. Publisher: Bantam, 1985. ISBN: 0553248928. Publisher series no: 30. Book ID: 514. 116 pages (original), 121 pages (reissue).	514	30
02-16	02	16	Choose Your Own Adventure (1979-1998)		You Are a Shark			You Are a Shark. Author: Edward Packard. Publisher: Bantam, 1985. ISBN: 0553249630. Publisher series no: 30. Book ID: 526. 114 pages.	526	30
02-17	02	17	Choose Your Own Adventure (1979-1998)		Deadly Shadow, The			Deadly Shadow, The. Author: Richard Brightfield. Publisher: Bantam, 1985. ISBN: 0553249916. Publisher series no: 30. Book ID: 525. 118 pages.	525	30
02-18	02	18	Choose Your Own Adventure (1979-1998)		Outlaws of Sherwood Forest			Outlaws of Sherwood Forest. Author: Ellen Kushner. Publisher: Bantam, 1985. ISBN: 0553250698. Publisher series no: 30. Book ID: 524. 118 pages.	524	30
02-19	02	19-20	Choose Your Own Adventure (1979-1998)		Spy for George Washington			Spy for George Washington. Author: Jay Leibold (Jay Montavon). Publisher: Bantam, 1985. ISBN: 0553251341. Publisher series no: 30. Book ID: 522. 115 pages (plus map and historical notes).	522	30
02-21	02	21-22	Choose Your Own Adventure (1979-1998)		Danger at Anchor Mine			Danger at Anchor Mine. Author: Louise Munro Foley. Publisher: Bantam, 1985. ISBN: 0553254960. Publisher series no: 30. Book ID: 435. 113 pages.	435	30
02-23	02	23	Choose Your Own Adventure (1979-1998)		Return to the Cave of Time			Return to the Cave of Time. Author: Edward Packard. Publisher: Bantam, 1985. ISBN: 0553252968. Publisher series no: 30. Book ID: 521. 115 pages.	521	30
02-24	02	24-25	Choose Your Own Adventure (1979-1998)		Magic of the Unicorn, The			Magic of the Unicorn, The. Author: Deborah Lerme Goodman. Publisher: Bantam, 1985. ISBN: 0553252429. Publisher series no: 30. Book ID: 517. 114 pages.	517	30
02-26	02	26-27	Choose Your Own Adventure (1979-1998)		Ghost Hunter			Ghost Hunter. Author: Edward Packard. Publisher: Bantam, 1986. ISBN: 055325488X. Publisher series no: 30. Book ID: 515. 117 pages.	515	30
02-28	02	28	Choose Your Own Adventure (1979-1998)		Case of the Silk King, The			Case of the Silk King, The. Author: Shannon Gilligan. Publisher: Bantam, 1986. ISBN: 193339014X. Publisher series no: 30. Book ID: 512. 114 pages (plus author's note) (original), 116 pages (plus author's note) (reissue).	512	30
02-29	02	29	Choose Your Own Adventure (1979-1998)		Forest of Fear			Forest of Fear. Author: Louise Munro Foley. Publisher: Bantam, 1986. ISBN: 0553254901. Publisher series no: 30. Book ID: 511. 116 pages (plus author's note).	511	30
02-30	02	30	Choose Your Own Adventure (1979-1998)		Trumpet of Terror, The			Trumpet of Terror, The. Author: Deborah Lerme Goodman. Publisher: Bantam, 1986. ISBN: 055325491X. Publisher series no: 30. Book ID: 509. 114 pages (plus name glossary and special information).	509	30
02-31	02	31	Choose Your Own Adventure (1979-1998)		Enchanted Kingdom, The			Enchanted Kingdom, The. Author: Ellen Kushner. Publisher: Bantam, 1986. ISBN: 0553258613. Publisher series no: 30. Book ID: 508. 113 pages.	508	30
02-32	02	32	Choose Your Own Adventure (1979-1998)		Antimatter Formula, The			Antimatter Formula, The. Author: Jay Leibold (Jay Montavon). Publisher: Bantam, 1986. ISBN: 0553257412. Publisher series no: 30. Book ID: 507. 118 pages.	507	30
02-33	02	33	Choose Your Own Adventure (1979-1998)		Statue of Liberty Adventure			Statue of Liberty Adventure. Author: Ellen Kushner. Publisher: Bantam, 1986. ISBN: 0553258133. Publisher series no: 30. Book ID: 505. 116 pages.	505	30
02-34	02	34	Choose Your Own Adventure (1979-1998)		Terror Island			Terror Island. Author: Tony Koltz. Publisher: Bantam, 1986. ISBN: 0553258850. Publisher series no: 30. Book ID: 504. 121 pages.	504	30
02-35	02	35	Choose Your Own Adventure (1979-1998)		Vanished			Vanished! Author: Deborah Lerme Goodman. Publisher: Bantam, 1986. ISBN: 0553259415. Publisher series no: 30. Book ID: 503. 116 pages.	503	30
02-36	02	36	Choose Your Own Adventure (1979-1998)		Beyond Escape			Beyond Escape! Author: R.A. Montgomery. Publisher: Bantam, 1986. ISBN: 1933390158. Publisher series no: 30. Book ID: 502. 113 pages (original), 118 pages (reissue).	502	30
02-37	02	37	Choose Your Own Adventure (1979-1998)		Sugarcane Island			Sugarcane Island. Author: Edward Packard. Publisher: Bantam, 1976. ISBN: 3473386472. Publisher series no: 30. Book ID: 162. 119 pages (original), 118 pages (revised edition).	162	30
02-38	02	38-40	Choose Your Own Adventure (1979-1998)		Mystery of the Secret Room			Mystery of the Secret Room. Author: Ellen Kushner. Publisher: Bantam, 1986. ISBN: 055326270X. Publisher series no: 30. Book ID: 493. 117 pages.	493	30
02-41	02	41	Choose Your Own Adventure (1979-1998)		Volcano			Volcano! Author: Meryl Siegman. Publisher: Bantam, 1987. ISBN: 0553261975. Publisher series no: 30. Book ID: 492. 111 pages (plus author's note).	492	30
02-42	02	42	Choose Your Own Adventure (1979-1998)		Mardi Gras Mystery, The			Mardi Gras Mystery, The. Author: Louise Munro Foley. Publisher: Bantam, 1987. ISBN: 0553262912. Publisher series no: 30. Book ID: 491. 118 pages.	491	30
02-43	02	43-44	Choose Your Own Adventure (1979-1998)		Secret of the Ninja			Secret of the Ninja. Author: Jay Leibold (Jay Montavon). Publisher: Bantam, 1987. ISBN: 0553264842. Publisher series no: 30. Book ID: 490. 115 pages (plus glossary and special note) (original), 124 pages (plus glossary and special note) (reissue).	490	30
02-45	02	45	Choose Your Own Adventure (1979-1998)		Seaside Mystery			Seaside Mystery. Author: Ann Hodgman. Publisher: Bantam, 1987. ISBN: 0553264710. Publisher series no: 30. Book ID: 489. 115 pages.	489	30
02-46	02	46	Choose Your Own Adventure (1979-1998)		Secret of the Sun God			Secret of the Sun God. Author: Andrea Packard. Publisher: Bantam, 1987. ISBN: 0553265296. Publisher series no: 30. Book ID: 487. 118 pages.	487	30
02-47	02	47-48	Choose Your Own Adventure (1979-1998)		Rock and Roll Mystery			Rock and Roll Mystery. Author: Jim Wallace. Publisher: Bantam, 1987. ISBN: 0553276972. Publisher series no: 30. Book ID: 486. 118 pages.	486	30
02-49	02	49	Choose Your Own Adventure (1979-1998)		Invaders of the Planet Earth			Invaders of the Planet Earth. Author: Richard Brightfield. Publisher: Bantam, 1987. ISBN: 0553266691. Publisher series no: 30. Book ID: 450. 115 pages.	450	30
02-50	02	50	Choose Your Own Adventure (1979-1998)		Space Vampire			Space Vampire. Author: Edward Packard. Publisher: Bantam, 1987. ISBN: 055326723X. Publisher series no: 30. Book ID: 485. 118 pages.	485	30
02-51	02	51	Choose Your Own Adventure (1979-1998)		Brilliant Dr. Wogan, The			Brilliant Dr. Wogan, The. Author: R.A. Montgomery. Publisher: Bantam, 1987. ISBN: 0553267248. Publisher series no: 30. Book ID: 484. 113 pages.	484	30
02-52	02	52	Choose Your Own Adventure (1979-1998)		Beyond the Great Wall			Beyond the Great Wall. Author: Jay Leibold (Jay Montavon). Publisher: Bantam, 1987. ISBN: 0553267256. Publisher series no: 30. Book ID: 281. 116 pages.	281	30
02-53	02	53	Choose Your Own Adventure (1979-1998)		Longhorn Territory			Longhorn Territory. Author: Marc Newman. Publisher: Bantam, 1987. ISBN: 0553269046. Publisher series no: 30. Book ID: 452. 113 pages.	452	30
02-54	02	54	Choose Your Own Adventure (1979-1998)		Planet of the Dragons			Planet of the Dragons. Author: Richard Brightfield. Publisher: Bantam, 1988. ISBN: 0553268872. Publisher series no: 30. Book ID: 451. 117 pages.	451	30
02-55	02	55	Choose Your Own Adventure (1979-1998)		Mona Lisa is Missing, The			Mona Lisa is Missing, The. Author: Ramsey Montgomery. Publisher: Bantam, 1983. ISBN: 0553270044. Publisher series no: 30. Book ID: 449. 118 pages.	449	30
02-56	02	56	Choose Your Own Adventure (1979-1998)		First Olympics, The			First Olympics, The. Author: Ben M. Baglio. Publisher: Bantam, 1988. ISBN: 055327063X. Publisher series no: 30. Book ID: 448. 116 pages (plus historical note).	448	30
02-57	02	57	Choose Your Own Adventure (1979-1998)		Return to Atlantis			Return to Atlantis. Author: R.A. Montgomery. Publisher: Bantam, 1988. ISBN: 0553271237. Publisher series no: 30. Book ID: 447. 113 pages (original), 119 pages (reissue).	447	30
02-58	02	58	Choose Your Own Adventure (1979-1998)		Mystery of the Sacred Stones			Mystery of the Sacred Stones. Author: Louise Munro Foley. Publisher: Bantam, 1988. ISBN: 055326950X. Publisher series no: 30. Book ID: 446. 118 pages.	446	30
02-59	02	59	Choose Your Own Adventure (1979-1998)		Perfect Planet, The			Perfect Planet, The. Author: Edward Packard. Publisher: Bantam, 1988. ISBN: 0553272276. Publisher series no: 30. Book ID: 445. 116 pages (plus historical note).	445	30
02-60	02	60	Choose Your Own Adventure (1979-1998)		Terror in Australia			Terror in Australia. (Struggle Down Under). Author: Shannon Gilligan. Publisher: Bantam, 1988. ISBN: 0553272772. Publisher series no: 30. Book ID: 438. 113 pages (original), 123 pages (reissue).	438	30
02-61	02	61	Choose Your Own Adventure (1979-1998)		Hurricane			Hurricane! Author: Richard Brightfield. Publisher: Bantam, 1988. ISBN: 0553273566. Publisher series no: 30. Book ID: 437. 114 pages.	437	30
02-62	02	62-63	Choose Your Own Adventure (1979-1998)		Track of the Bear			Track of the Bear. Author: R.A. Montgomery. Publisher: Bantam, 1988. ISBN: 055327533X. Publisher series no: 30. Book ID: 436. 113 pages.	436	30
02-64	02	64	Choose Your Own Adventure (1979-1998)		You Are a Monster			You Are a Monster. Author: Edward Packard. Publisher: Bantam, 1988. ISBN: 0553274740. Publisher series no: 30. Book ID: 434. 116 pages.	434	30
03-01	03	01	Choose Your Own Adventure (1979-1998)		Inca Gold			Inca Gold. Author: James (Jim) Becket. Publisher: Bantam, 1988. ISBN: 0553274155. Publisher series no: 30. Book ID: 433. 115 pages (original), 125 pages (reissue).	433	30
03-02	03	02	Choose Your Own Adventure (1979-1998)		Knights of the Round Table			Knights of the Round Table. Author: Ellen Kushner. Publisher: Bantam, 1988. ISBN: 055327595X. Publisher series no: 30. Book ID: 432. 115 pages.	432	30
03-03	03	03	Choose Your Own Adventure (1979-1998)		Exiled to Earth			Exiled to Earth. Author: R.A. Montgomery. Publisher: Bantam, 1988. Publisher series no: 30. Book ID: 431.	431	30
03-04	03	04	Choose Your Own Adventure (1979-1998)		Master of Kung Fu			Master of Kung Fu. Author: Richard Brightfield. Publisher: Bantam, 1989. Publisher series no: 30. Book ID: 430. 113 pages.	430	30
03-05	03	05	Choose Your Own Adventure (1979-1998)		South Pole Sabotage			South Pole Sabotage. Author: Seddon Johnson. Publisher: Bantam, 1989. ISBN: 0553277707. Publisher series no: 30. Book ID: 429. 113 pages.	429	30
03-06	03	06	Choose Your Own Adventure (1979-1998)		Mutiny in Space			Mutiny in Space. Author: R.A. Montgomery, Edward Packard. Publisher: Bantam, 1989. ISBN: 0553278541. Publisher series no: 30. Book ID: 428. 116 pages.	428	30
03-07	03	07	Choose Your Own Adventure (1979-1998)		You Are a Superstar			You Are a Superstar. Author: Edward Packard. Publisher: Bantam, 1989. Publisher series no: 30. Book ID: 427.	427	30
03-08	03	08	Choose Your Own Adventure (1979-1998)		Return of the Ninja			Return of the Ninja. Author: Jay Leibold (Jay Montavon). Publisher: Bantam, 1989. ISBN: 0836813103. Publisher series no: 30. Book ID: 426. 112 pages.	426	30
03-09	03	09	Choose Your Own Adventure (1979-1998)		Captive			Captive! Author: Bill Hampton, Luann Hampton. Publisher: Bantam, 1989. Publisher series no: 30. Book ID: 425.	425	30
03-10	03	10	Choose Your Own Adventure (1979-1998)		Blood on the Handle			Blood on the Handle. Author: R.A. Montgomery. Publisher: Bantam, 1989. ISBN: 0553280767. Publisher series no: 30. Book ID: 424. 113 pages (original), 114 pages (reissue).	424	30
03-11	03	11	Choose Your Own Adventure (1979-1998)		You Are a Genius			You Are a Genius. Author: Edward Packard. Publisher: Bantam, 1989. Publisher series no: 30. Book ID: 423.	423	30
03-12	03	12	Choose Your Own Adventure (1979-1998)		Stock Car Champion			Stock Car Champion. Author: R.A. Montgomery. Publisher: Bantam, 1989. Publisher series no: 30. Book ID: 422.	422	30
03-13	03	13	Choose Your Own Adventure (1979-1998)		Through the Black Hole			Through the Black Hole. Author: Edward Packard. Publisher: Bantam, 1990. ISBN: 0553284401. Publisher series no: 30. Book ID: 421. 116 pages.	421	30
03-14	03	14	Choose Your Own Adventure (1979-1998)		You Are a Millionaire			You Are a Millionaire. Author: Jay Leibold (Jay Montavon). Publisher: Bantam, 1990. Publisher series no: 30. Book ID: 420.	420	30
03-15	03	15	Choose Your Own Adventure (1979-1998)		Revenge of the Russian Ghost			Revenge of the Russian Ghost. Author: Jay Leibold (Jay Montavon). Publisher: Bantam, 1990. Publisher series no: 30. Book ID: 419.	419	30
03-16	03	16	Choose Your Own Adventure (1979-1998)		Worst Day of Your Life, The			Worst Day of Your Life, The. Author: Edward Packard. Publisher: Bantam, 1990. Publisher series no: 30. Book ID: 418.	418	30
03-17	03	17	Choose Your Own Adventure (1979-1998)		Alien, Go Home			Alien, Go Home! Author: Seddon Johnson. Publisher: Bantam, 1990. Publisher series no: 30. Book ID: 417.	417	30
03-18	03	18	Choose Your Own Adventure (1979-1998)		Master of Tae Kwon Do			Master of Tae Kwon Do. Author: Richard Brightfield. Publisher: Bantam, 1990. ISBN: 0836814045. Publisher series no: 30. Book ID: 416. 119 pages.	416	30
03-19	03	19	Choose Your Own Adventure (1979-1998)		Grave Robbers			Grave Robbers. Author: Ramsey Montgomery. Publisher: Bantam, 1990. Publisher series no: 30. Book ID: 415.	415	30
03-20	03	20	Choose Your Own Adventure (1979-1998)		Cobra Connection, The			Cobra Connection, The. Author: Louise Munro Foley. Publisher: Bantam, 1990. Publisher series no: 30. Book ID: 414.	414	30
03-21	03	21	Choose Your Own Adventure (1979-1998)		Treasure of the Onyx Dragon, The			Treasure of the Onyx Dragon, The. Author: Alison Gilligan. Publisher: Bantam, 1990. ISBN: 1933390999. Publisher series no: 30. Book ID: 413.	413	30
03-22	03	22	Choose Your Own Adventure (1979-1998)		Hijacked			Hijacked! Author: Richard Brightfield. Publisher: Bantam, 1990. ISBN: 0836814002. Publisher series no: 30. Book ID: 412. 116 pages.	412	30
03-23	03	23	Choose Your Own Adventure (1979-1998)		Fight for Freedom			Fight for Freedom. Author: Jay Leibold (Jay Montgomery). Publisher: Bantam, 1990. Publisher series no: 30. Book ID: 411.	411	30
03-24	03	24	Choose Your Own Adventure (1979-1998)		Master of Karate			Master of Karate. Author: Richard Brightfield. Publisher: Bantam, 1990. ISBN: 0836814037. Publisher series no: 30. Book ID: 410. 113 pages.	410	30
03-25	03	25	Choose Your Own Adventure (1979-1998)		Chinese Dragons			Chinese Dragons. Author: R.A. Montgomery. Publisher: Bantam, 1991. ISBN: 1933390301. Publisher series no: 30. Book ID: 409. 119 pages (reissue).	409	30
03-26	03	26	Choose Your Own Adventure (1979-1998)		Invaders from Within			Invaders from Within. Author: Edward Packard. Publisher: Bantam, 1991. ISBN: 0553288377. Publisher series no: 30. Book ID: 408. 114 pages.	408	30
03-27	03	27	Choose Your Own Adventure (1979-1998)		Smoke Jumper			Smoke Jumper. Author: R.A. Montgomery. Publisher: Bantam, 1991. ISBN: 1933390298. Publisher series no: 30. Book ID: 407. 116 pages (reissue).	407	30
03-28	03	28	Choose Your Own Adventure (1979-1998)		Skateboard Champion			Skateboard Champion. Author: Edward Packard. Publisher: Bantam, 1991. ISBN: 0836814061. Publisher series no: 30. Book ID: 406. 112 pages.	406	30
03-29	03	29	Choose Your Own Adventure (1979-1998)		Lost Ninja, The			Lost Ninja, The. Author: Jay Leibold (Jay Montavon). Publisher: Bantam, 1991. Publisher series no: 30. Book ID: 405.	405	30
03-30	03	30	Choose Your Own Adventure (1979-1998)		Daredevil Park			Daredevil Park. Author: Sara Compton, Spencer Compton. Publisher: Bantam, 1991. Publisher series no: 30. Book ID: 404.	404	30
03-31	03	31	Choose Your Own Adventure (1979-1998)		Island of Time, The			Island of Time, The. Author: R.A. Montgomery. Publisher: Bantam, 1991. ISBN: 193339028X. Publisher series no: 30. Book ID: 403. 113 pages (original), 116 pages (reissue).	403	30
03-32	03	32	Choose Your Own Adventure (1979-1998)		Kidnapped			Kidnapped! Author: Edward Packard. Publisher: Bantam, 1991. Publisher series no: 30. Book ID: 402.	402	30
03-33	03	33	Choose Your Own Adventure (1979-1998)		Search for Aladdin's Lamp, The			Search for Aladdin's Lamp, The. Author: Jay Leibold (Jay Montavon). Publisher: Bantam, 1991. Publisher series no: 30. Book ID: 401.	401	30
03-34	03	34	Choose Your Own Adventure (1979-1998)		Vampire Invaders			Vampire Invaders. Author: Edward Packard. Publisher: Bantam, 1991. Publisher series no: 30. Book ID: 400.	400	30
03-35	03	35	Choose Your Own Adventure (1979-1998)		Terrorist Trap, The			Terrorist Trap, The. Author: Shannon Gilligan. Publisher: Bantam, 1991. Publisher series no: 30. Book ID: 399.	399	30
03-36	03	36	Choose Your Own Adventure (1979-1998)		Ghost Train			Ghost Train. Author: Louise Munro Foley. Publisher: Bantam, 1991. Publisher series no: 30. Book ID: 398.	398	30
